#1073	neutral
*********_________********	neutral
@basseuse666	neutral
@deinskysport	neutral
@doccirrus	neutral
@fra	neutral
@lik0n	neutral
@mirkokaminski	neutral
@nichtkatharina	neutral
@ontokki	neutral
@runningtwins	neutral
@ulfheyden	neutral
alimnetz	neutral
altfühl	neutral
angenehm	positive
arm	negative
armselig	negative
ausgezeichnet	positive
bahnnewsch	neutral
bartbrudergeburtstag	neutral
bdaslogans	neutral
bedauernswert	negative
besser	positive
biospritt	neutral
bleibtnatürlichnichtso	neutral
boxsport​	neutral
bume	neutral
böse	negative
bürohilfskräfte	neutral
chelst	neutral
deutschst	neutral
druw	neutral
dürftig	negative
einerundemit	neutral
einsatzkoordinator	neutral
ekelerregend	negative
ekelhaft	negative
ekelig	negative
ernieundbert	neutral
erungsglas	neutral
falsch	negative
familienausflügler	neutral
fies	negative
followeepower	neutral
freundlich	positive
fürimmerwaldstadion	neutral
garnichtwitzig	neutral
gebietsvertriebsleiter	neutral
gemein	negative
gemeindenews	neutral
geringwertig	negative
glücklich	positive
gomagazin	neutral
gut	positive
handtuchbügeln	neutral
hrungskr	neutral
hässlich	negative
höherwertig	positive
hübsch	positive
irrig	negative
jobspass	neutral
jweilandnet	neutral
kassakraft	neutral
korrekt	positive
lieb	positive
louisvillecardinals	neutral
mangelhaft	negative
meistgewünscht	neutral
mentionsomebodyyouwanttomeet	neutral
minderwertig	negative
misslich	negative
mysmartshop	neutral
nachahmerprodukt	neutral
nachrangig	negative
nativepride	neutral
negativ	negative
nett	positive
ochsenberger	neutral
paload	neutral
positiv	positive
produktinfor	neutral
qualitätsverantwortlicher	neutral
rdenfreund	neutral
reaktionskonferenz	neutral
richtig	positive
rstenwald	neutral
sachentscheidu	neutral
sardines	neutral
scheußlich	negative
schlecht	negative
schlimm	negative
schwach	negative
schädlich	negative
schön	positive
singoldnetzbote	neutral
solarwärmeanlagen	neutral
sooooooommer	neutral
stanzmesser	neutral
stummlarabummsfalleradingdonbananasmelonastuttifruttilp	neutral
systemgegnerin	neutral
tagesblättchen	neutral
technopädia	neutral
teil8	neutral
terminadre	neutral
thegym	neutral
twoopies	neutral
unangenehm	negative
unerfreulich	negative
unglücklich	negative
ungünstig	negative
unrecht	negative
unterlegen	negative
verdorben	negative
versicherungszeitung	neutral
viabuy	neutral
wandbogen	neutral
warghhhh	neutral
widerlich	negative
widerwärtig	negative
yijare	neutral
zentrumsleiter	neutral
übel	negative
überlegen	positive
überragend	positive
「knife	neutral
『whistle』	neutral
長城	neutral
🏰	neutral
