^	^
=	=
|	|
_	_
-	-
,	,
;	;
:-*	:-*
:-	:-
:	:
!	!
?	?
/	/
...	...
.	.
'	'
‘	‘
"	"
“	“
”	”
»	»
(	(
)	)
[	[
]	]
}	}
@	@
€	€
*	*
\	\
&	&
#	#
%	%
+	+
❤☀	❤☀
…	…
0,000000000000000000001	@card@
00000000000	@card@
00000000001	@card@
000	@card@
004	@card@
007	@card@
00	@card@
00v3rdr1v3	%user
01:30	@card@
0130	@card@
01379	@card@
01	@card@
02	@card@
03.10	@card@
0310	@card@
03	@card@
04.05	@card@
0405	@card@
04	@card@
04zippy	%user
05062013	@card@
05-06	@card@
05072013	@card@
05.07	@card@
053920	@card@
0.5	@card@
05	@card@
06042013	@card@
06.04	@card@
06.09	@card@
0609	@card@
062	@card@
062_gizem	%user
07052013	@card@
07.05	@card@
072001	@card@
07:20	@card@
07:30	@card@
0730	@card@
0,75	@card@
075	@card@
0815	@card@
0815klaus	%user
089	@card@
089lorelai	%user
093801	@card@
09:38	@card@
-0,9	@card@
09	@card@
0	@card@
0lg12	%user
0thessa	%user
100.000	@card@
10.000	@card@
10001100	@card@
10.00-	@card@
100	100
1005	@card@
1.009	@card@
1009	@card@
10	10
1011	@card@
1,012	@card@
1012	@card@
1013	@card@
10.1	@card@
101	@card@
1,020	@card@
10-20	@card@
1020	@card@
1030	@card@
10:34	@card@
1034	@card@
1,040	@card@
1040	@card@
1042	@card@
1,045	@card@
1045	@card@
1,053	@card@
1053	@card@
1,058	@card@
1058	@card@
10,5	@card@
105	@card@
106	@card@
10,7	@card@
107	@card@
1,080	@card@
1080	@card@
1,090	@card@
1090	@card@
1,095	@card@
1095	@card@
1.0	@card@
+1	+1
1	1
1,100	@card@
11.00	@card@
11042013	@card@
11.04	@card@
1-10	@card@
11	11
11-12	@card@
1112	@card@
111	@card@
112,212	@card@
112212	@card@
11301300	@card@
11:30	@card@
11.30-	@card@
1130	@card@
11345	@card@
1,137	@card@
1137	@card@
1,149	@card@
1149	@card@
1,150	@card@
11.55	@card@
1155	@card@
115,765	@card@
115765	@card@
115	@card@
1,170	@card@
1170	@card@
118	@card@
1,194	@card@
1194	@card@
1195.95	@card@
119595	@card@
120.000	@card@
12:00	@card@
12042013	@card@
12.04	@card@
1205	@card@
120613	@card@
12.06	@card@
12	12
12-1	@card@
121	@card@
12:30	@card@
1230	@card@
123bloess	%user
123	@card@
123hier	%user
12:41	@card@
1241	@card@
1260	@card@
127	@card@
128	@card@
1292013	@card@
12.9	@card@
1-2	@card@
130,012	@card@
130012	@card@
13:00	@card@
13.00	@card@
130313	@card@
13032013	@card@
13.03	@card@
13/04	@card@
1304	@card@
13	13
131	@card@
132,000	@card@
132000	@card@
1,323	@card@
1323	@card@
132,500	@card@
132500	@card@
132	@card@
13:30	@card@
1330	@card@
13313	@card@
1337	@card@
1337mate	%user
13.3	@card@
13,59	@card@
1359	@card@
13,5	@card@
13.5	@card@
135	@card@
13860001	@card@
13dx110	%user
14.000	@card@
14000	@card@
14:00	@card@
14.00	@card@
1400	@card@
14052013	@card@
14.05	@card@
140813	@card@
140	@card@
14	14
14165	@card@
141990	@card@
1.419	@card@
143,780	@card@
