Abandon	Abandon	NN	negative	-/-/-	D
Abart	Abart	NN	negative	-/-/-	D
Abbau	Abbau	NN	negative	-/-0.058/-	L
Abbildungsfehler	Abbildungsfehler	NN	negative	-/-/-	D
Abbildverzerrung	Abbildverzerrung	NN	negative	-/-/-	D
Abblendung	Abblendung	NN	negative	-/-/-	D
Abbohrung	Abbohrung	NN	negative	-/-/-	D
Abbruch	Abbruch	NN	negative	-/-0.0048/-	L
Abbruchstelle	Abbruchstelle	NN	negative	-/-/-	D
Abdampf	Abdampf	NN	negative	-/-/-	D
Abdankung	Abdankung	NN	negative	-/-0.0048/-	L
Abdämpfung	Abdämpfung	NN	negative	-/-0.0048/-	L
Abenteuerlichkeit	Abenteuerlichkeit	NN	negative	-/-/-	D
Abenteuerpolitik	Abenteuerpolitik	NN	negative	-/-/-	D
Aberglaube	Aberglaube	NN	negative	-/-/-	D
Aberkennung	Aberkennung	NN	negative	-/-/-	D
Aberration	Aberration	NN	negative	-/-/-	D
Abfall	Abfall	NN	negative	-/-0.0048/-	L
Abfallbrennstoff	Abfallbrennstoff	NN	negative	-/-/-	D
Abfallkorb	Abfallkorb	NN	negative	-/-/-	D
Abfallprodukt	Abfallprodukt	NN	negative	-/-/-	D
Abfallquote	Abfallquote	NN	negative	-/-/-	D
Abfallstoff	Abfallstoff	NN	negative	-/-/-	D
Abfallstutzen	Abfallstutzen	NN	negative	-/-/-	D
Abfallstück	Abfallstück	NN	negative	-/-/-	D
Abflussgraben	Abflussgraben	NN	negative	-/-/-	D
Abfluß	Abfluß	NN	negative	-/-/-	D
Abforderung	Abforderung	NN	negative	-/-/-	D
Abformung	Abformung	NN	negative	-/-/-	D
Abfuhr	Abfuhr	NN	negative	-/-0.3367/-	L
Abgabe	Abgabe	NN	negative	-/-/-	D
Abgang	Abgang	NN	negative	0/1/0	D
Abgas	Abgas	NN	negative	-/-/-	D
Abgaskanal	Abgaskanal	NN	negative	-/-/-	D
Abgeschiedenheit	Abgeschiedenheit	NN	negative	-/-/-	D
Abgeschlagenheit	Abgeschlagenheit	NN	negative	-/-/-	D
Abgespanntheit	Abgespanntheit	NN	negative	-/-/-	D
Abgestumpftheit	Abgestumpftheit	NN	negative	-/-/-	D
Abgrabung	Abgrabung	NN	negative	-/-/-	D
